Range,speed_low,speed_medium,speed_high,slippery_low,slippery_medium,slippery_high,distance_close,distance_medium,distance_far,risk_low,risk_medium,risk_high
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,0.6561,0.07840000000000003,0.01990000000000003,0.955336489125606,0.0,0.0010000000000000002,0.0,0.479425538604203,0.955336489125606,1.0,0.0,0.0
0.2,0.4096000000000001,0.2944000000000001,0.07840000000000003,0.8253356149096782,0.10000000000000009,0.008000000000000002,0.0,0.8414709848078965,0.8253356149096782,0.0,0.0,0.0
0.30000000000000004,0.24009999999999995,0.5904000000000001,0.17190000000000016,0.6216099682706644,0.40000000000000013,0.027000000000000014,0.27100000000000024,0.9974949866040544,0.6216099682706644,0.0,0.7500000000000002,0.0
0.4,0.1296,0.8704000000000001,0.2944000000000001,0.3623577544766734,0.7000000000000001,0.06400000000000002,0.4880000000000001,0.9092974268256817,0.3623577544766734,0.0,1.0,0.0
0.5,0.0625,1.0,0.4375,0.0707372016677029,1.0,0.125,0.657,0.5984721441039564,0.0707372016677029,0.0,0.75,0.0
0.6000000000000001,0.025599999999999977,0.8063999999999997,0.5904000000000001,0.0,0.6999999999999997,0.2160000000000001,0.7840000000000001,0.14112000805986677,0.0,0.0,0.0,0.40000000000000036
0.7000000000000001,0.008099999999999993,0.07839999999999925,0.7399000000000001,0.0,0.3999999999999998,0.3430000000000001,0.8750000000000001,0.0,0.0,0.0,0.0,0.8000000000000003
0.8,0.0015999999999999986,0.0,0.8704000000000001,0.0,0.09999999999999987,0.5120000000000001,0.936,0.0,0.0,0.0,0.0,0.7999999999999998
0.9,9.999999999999991e-05,0.0,0.9639,0.0,0.0,0.7290000000000001,0.973,0.0,0.0,0.0,0.0,0.3999999999999999
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.992,0.0,0.0,0.0,0.0,0.0
